entity_id_candidate;name_official_candidate;place_rank;place_id;place_name;formatted_address;places_status
nr_100009;Deutscher Handball Bund;1.0;ChIJUZgXYgRXqEcR8hIq6475gtQ;Handball-Verband Berlin e.V.;Glockenturmstraße 3+5, 14053 Berlin-Bezirk Charlottenburg-Wilmersdorf;OK
hrb_091159;Nachbarschaftsheim Schöneberg Pflegerische Dienste gemeinnützige GmbH;1.0;ChIJmTsV2WNQqEcRAqhrRk5guJQ;Nachbarschaftsheim Schöneberg Pflegerische Dienste;Tübinger Str. 1, 10715 Berlin-Bezirk Charlottenburg-Wilmersdorf;OK
hrb_091159;Nachbarschaftsheim Schöneberg Pflegerische Dienste gemeinnützige GmbH;2.0;ChIJmaJtkHdQqEcRM8_QHqXRUrg;Nachbarschaftsheim Schöneberg;Holsteinische Str. 30, 12161 Berlin-Bezirk Tempelhof-Schöneberg;OK
hrb_091159;Nachbarschaftsheim Schöneberg Pflegerische Dienste gemeinnützige GmbH;3.0;ChIJmTsV2WNQqEcRSt_O6-uNkJw;Nachbarschaftsheim Schöneberg, Sozialstation Friedenau;Bundesallee 50, 10715 Berlin-Bezirk Charlottenburg-Wilmersdorf;OK
vr_013515;Elterninitiative für Waldorfpädagogik in Schöneberg;1.0;ChIJnyMxaGNQqEcR_Tg626SX-Yo;Waldorfkindergarten Friedenau;Sieglindestraße 1, 12159 Berlin-Bezirk Tempelhof-Schöneberg;OK
vr_013515;Elterninitiative für Waldorfpädagogik in Schöneberg;2.0;ChIJ9wNQvnpQqEcRKqo26CuF26M;Waldorfkindergarten Elfenreigen;Lauterstraße 26, 12159 Berlin-Bezirk Tempelhof-Schöneberg;OK
vr_013515;Elterninitiative für Waldorfpädagogik in Schöneberg;3.0;ChIJ9WyRKEBQqEcRyo-oSbWSRuU;Waldorf Kita;Feurigstraße 22, 10827 Berlin-Bezirk Tempelhof-Schöneberg;OK
vr_025174;Au Fer Schöneberg e. V.;1.0;ChIJI8CG4j5QqEcR1YDNbHYSK4Q;au fer Schöneberg e.V.;Brunhildstraße 3, 10829 Berlin-Bezirk Tempelhof-Schöneberg;OK
vr_025174;Au Fer Schöneberg e. V.;2.0;ChIJ5f8P39BPqEcRrNuWkIjChDQ;au fer Schöneberg;Baerwaldstraße 52, 10961 Berlin-Bezirk Friedrichshain-Kreuzberg;OK
vr_009005;Kiezoase Schöneberg e. V.;1.0;ChIJ45HTO0RQqEcResCNB5C4-M8;Kiezoase Schöneberg e.V.;Barbarossastraße 65l, 10781 Berlin;OK
